"date","company name","spend","impressions","likecount","commentcount","repostcount","total engagements","conversion","action","type","posturl","postcontent","profileurl","videourl","sharedposturl","created_at","size","url","number of faces","face emotion","face position","face area percentage %","objects","number of objects","primary object","primary object position","primary object area percentage %","secondary object","secondary object position","secondary object area percentage %","text","text length","dominant colour","cta","logos","logo 1 name","logo 1 position","logo 1 area percentage %","logo 2 name","logo 2 position","logo 2 area percentage %","number of persons","person area %","person area","style","tone","voice","sentiment","text area %","empty space %","topic","language","# faces","# persons","# objects","# text length"
"2023-09-05","schneider-electric","5.85","479","31","0","2","33","7","Post","Document","https://www.linkedin.com/feed/update/urn:li:activity:7104709738713526272","Join us to Understand the basics of harmonics and ways to improve power quality as part of the TechDay Friday series where our Offer Marketing Manager, Mr. Devendra Mohan Singh discusses strategies on how to mitigate harmonics and improve the power quality. Acquire knowledge about the basics of harmonics, explore techniques for analyzing them, and develop skills in designing solutions for effective mitigation. Moreover, we will be acknowledging the most actively involved participants during the Tech Day Fri","https://www.linkedin.com/company/schneider-electric/","","","2023-09-13 9:46:04","100x100","","0","","","0","","0","","","0","","","0","","0","","","","","","0","","","0","0","","0","NA","Informative","Professional","Positive","0","> 40%","Offerings","English","0","0","0","N/A"
"2023-09-01","schneider-electric","1.80","3880","224","1","9","234","0","Post","Image","https://www.linkedin.com/feed/update/urn:li:activity:7103277824534310912","When challenges arise, Schneider Electric Exchange connects you with the right solutions. Discover how a Swedish hospital overcame a hardware setback with our partner ecosystem. Dive in and read the story: http://spr.ly/6040Ptsf6","https://www.linkedin.com/company/schneider-electric/","","","2023-09-13 9:46:04","800x420","https://rocketium.com/images/cran/prod/assets/2023-09-12-10:59:22887351-1693553401533.jpeg","0","","","0","Building","1","Building","center","57.1811543","","","0","Life Is On Schneider|Electric|controlsee","37","darkslategray","","Schneider Electric","Schneider Electric","bottom-left","0.7142857143","","","0","0","small","0","NA","NA","NA","NA","1.85","> 40%","Offerings","English","0","0","1","40 to 60"
"2023-09-04","schneider-electric","2.32","785","55","1","16","72","11","Post","Video (LinkedIn Source)","https://www.linkedin.com/feed/update/urn:li:activity:7104366032068255744","Join our webinar on September 19th at 4 PM HKT /10 AM CET with David Witek from Arc Skoru Inc., a Schneider Electric Technology Partner. Learn how data can be used to enable greener, more user-friendly buildings and empower their owners on their sustainability certification journey.  Our experts will answer all your questions on the live chat!","https://www.linkedin.com/company/schneider-electric/","","https://www.linkedin.com/video/event/urn:li:ugcPost:7104366031002894336/?isInternal=true","2023-09-13 9:46:04","100x100","","0","","","0","","0","","","0","","","0","","0","","","","","","0","","","0","0","","0","NA","Informative","Professional","Positive","0","> 40%","Sustainability","English","0","0","0","N/A"
"2023-09-04","schneider-electric","3.94","658","54","1","5","60","8","Post","Video (LinkedIn Source)","https://www.linkedin.com/feed/update/urn:li:activity:7104363385277841408","Join our webinar on September 19th at 5 PM CET with David Witek from Arc Skoru Inc., a Schneider Electric Technology Partner. Learn how data can be used to enable greener, more user-friendly buildings and empower their owners on their sustainability certification journey.Our experts will answer all your questions on the live chat!","https://www.linkedin.com/company/schneider-electric/","","https://www.linkedin.com/video/event/urn:li:ugcPost:7104363384271224832/?isInternal=true","2023-09-13 9:46:04","100x100","","0","","","0","","0","","","0","","","0","","0","","","","","","0","","","0","0","","0","","","","","0","> 40%","Sustainability","English","0","0","0","N/A"
"2023-09-04","schneider-electric","3.89","2568","168","1","5","174","25","Post","Video (LinkedIn Source)","https://www.linkedin.com/feed/update/urn:li:activity:7104426530197413888","More than 80% of partners have made investments to build more sustainable business practices. Learn how #DesignFirms can become a favorable choice for customers to accelerate their sustainability journey by establishing #PartnershipsoftheFuture. Read IDC InfoBrief. http://spr.ly/6041PtENZ","https://www.linkedin.com/company/schneider-electric/","https://dms.licdn.com/playlist/vid/D4D10AQGDxyDsg14ndQ/mp4-640p-30fp-crf28/0/1693827274227?e=1695031200&v=beta&t=sx00Oh9nEVLCiuZtPwUgTPXrWAwBOAWTSCId29dIZHU","","2023-09-13 9:46:04","1200x630","https://rocketium.com/images/cran/prod/assets/2023-09-12-10:59:18837598-1693827266189.jpeg","2","Joy","top-center","4.381481481","Glasses, Person, Person, Tie, Person, Glasses","6","Person","center","54.48762082","Person","center","30.20652214","Life Is On Schneiderte","21","darkslategray","","Schneider Electric, Schneider Electric","Schneider Electric","bottom-left","0.7619047619","Schneider Electric","bottom-left","0.4146825397","3","large","125.0099983","NA","NA","NA","NA","1.05","10% to 20%","Sustainability","English","2 to 4","2 to 4","5 or more","20 to 40"
"2023-09-08","schneider-electric","589.48","84316","136","0","10","146","14","Post","Image","https://www.linkedin.com/feed/update/urn:li:activity:7105757915117985792","Today we are making in India, for #India and for the world. Accelerating our contribution to a more digital and #sustainable world.Know More - http://spr.ly/6042PIiTj#G20India #GreenYodha #SchneiderElectric","https://www.linkedin.com/company/schneider-electric/","","","2023-09-13 9:46:04","800x418","https://rocketium.com/images/cran/prod/assets/2023-09-12-10:59:09608756-1694144701529.jpeg","1","Joy","center-right","10.625","Person, Person, Ball","3","Person","bottom-right","18.64490921","Person","center-right","20.71915547","ONE EARTH. ONE FAMILY. ONE FUTURE.|THE TIME|TO ACT IS NOW.|Life Is On Schneider|Electric|60|Years in India|Partnering for|sustainability","127","beige","","Schneider Electric","Schneider Electric","bottom-left","0.5909090909","","","0","2","large","39.36406467","Modern","Informative","Friendly","Positive","12.7","> 40%","Sustainability","English","1","2 to 4","2 to 4","> 60"
"2023-09-07","vertiv","2.61","1618","116","1","12","129","7","Post","Video (LinkedIn Source)","https://www.linkedin.com/feed/update/urn:li:activity:7105448580785524736","#VertivPartners are critical in driving #digitaltransformation in the region. With the advent of #AI and #sustainability, it is essential to prepare for future IT requirements.We gathered more than 200 partners from Australia & New Zealand, Southeast Asia, Japan, and Korea to experience how Vertiv's data center and IT solutions can support organizations in their AI requirements while achieving #ESG goals. Thirty-six partners have also been recognized for their significant achievements in 2022.Finally, we en","https://www.linkedin.com/company/vertiv/","https://dms.licdn.com/playlist/vid/D4E10AQGNz0wyWe2tRw/mp4-720p-30fp-crf28/0/1694070953436?e=1695031200&v=beta&t=1SSa-4Ep3TEbC2-pMc_MkgkeMZvTAhHW_TXh3-CSx64","","2023-09-13 9:50:47","1280x720","https://rocketium.com/images/cran/prod/assets/2023-09-12-11:59:19533966-1694070710923.jpeg","0","","","0","Building","1","Building","center","83.74417825","","","0","M","0","darkslategray","","","","","0","","","0","0","small","0","","","","","0","10% to 20%","Digital Transformation","English","0","0","1","< 20"
"2023-09-04","vertiv","7.47","330","12","0","3","15","2","Post","Article","https://www.linkedin.com/feed/update/urn:li:activity:7104364986289803264","Need room to grow? 📈 Future-proof rack #power distribution with Vertiv Geist Combination Outlet. The universal C13/C19 outlet can easily accommodate new #datacenter rack configurations, eliminating the need to modify or replace rPDUs as rack densities increase. Learn more: http://ms.spr.ly/60419nyG1","https://www.linkedin.com/company/vertiv/","","http://ms.spr.ly/60419nyG1","2023-09-13 9:52:07","800x450","https://rocketium.com/images/cran/prod/assets/2023-09-12-12:14:59251031-1693812600823.jpeg","0","","","0","","0","","","0","","","0","TM|Vertiv™ Geist™|Combination Outlet|C13/C19 rPDUs|8|300|THECHANNELCO.|CRN|TECH|INNOVATORS|FINALIST|2020","92","black","","","","","0","","","0","0","","0","Modern","Informative","Friendly","Positive","9.2","> 40%","Offerings","English","0","0","0","> 60"
"2023-09-04","vertiv","7.68","1173","61","0","3","64","8","Post","Image","https://www.linkedin.com/feed/update/urn:li:activity:7104448043294314496","Revolutionize your #datacenter with Vertiv's prefabricated #modularsolutions! Discover how prefabricated modular solutions bring efficiency, scalability, and speed to the table. Dive into the future of data centers now! 👉 http://ms.spr.ly/60459Tluf#DataCenterInnovation","https://www.linkedin.com/company/vertiv/","","","2023-09-13 9:50:47","800x418","https://rocketium.com/images/cran/prod/assets/2023-09-12-11:59:29113788-1693832403411.jpeg","0","","","0","Home appliance","1","Home appliance","center-right","24.39814574","","","0","VERTIV|Empowering Growth|Vertiv's Modular Data Center Solutions|READ THE BLOG|wwwwww","79","silver","","Vertiv Co","Vertiv Co","top-left","1.442583732","","","0","0","small","0","Modern","Informative","Friendly","Positive","7.9","> 40%","Offerings","English","0","0","1","> 60"
"2023-09-06","vertiv","8.49","936","48","0","4","52","5","Post","Image","https://www.linkedin.com/feed/update/urn:li:activity:7105157715131289600","Say goodbye to conventional setups and embrace the future of data centers with Vertiv. Our prefabricated modular solutions bring agility, speed, and reliability to your scaling needs. Get the scoop now! 👉 http://ms.spr.ly/60469Tl5r#DataCenterEvolution #VertivInnovates","https://www.linkedin.com/company/vertiv/","","","2023-09-13 9:50:47","800x418","https://rocketium.com/images/cran/prod/assets/2023-09-12-11:59:14765219-1694001602246.jpeg","0","","","0","Home appliance","1","Home appliance","center-right","24.39814574","","","0","VERTIV|Empowering Growth|Vertiv's Modular Data Center Solutions|READ THE BLOG|wwwwww","79","silver","","Vertiv Co","Vertiv Co","top-left","1.442583732","","","0","0","small","0","Modern","Informative","Friendly","Positive","7.9","> 40%","Offerings","English","0","0","1","> 60"
